video,scenario,metric,color_space,window,precision,recall,f1,tp,fp,fn,tn,threshold
hand-shake\hand-shake.mp4,hand-shake,HISTCMP_INTERSECT,RGB,1,0.275,1.0,0.43137254901960786,11,29,0,10,-3.961920681373158
hand-shake\hand-shake.mp4,hand-shake,HISTCMP_INTERSECT,RGB,3,0.35,0.6363636363636364,0.45161290322580644,7,13,4,26,-3.9445368972592405
hand-shake\hand-shake.mp4,hand-shake,HISTCMP_INTERSECT,RGB,5,0.4166666666666667,0.45454545454545453,0.43478260869565216,5,7,6,32,-3.9445368972592405
ios-autofocus\ios-autofocus.mp4,ios-autofocus,HISTCMP_CORREL,GRAY,1,0.23404255319148937,1.0,0.3793103448275862,11,36,0,3,3.411788135820881e-05
ios-autofocus\ios-autofocus.mp4,ios-autofocus,HISTCMP_CORREL,GRAY,3,0.2682926829268293,1.0,0.4230769230769231,11,30,0,9,3.411788135820881e-05
ios-autofocus\ios-autofocus.mp4,ios-autofocus,HISTCMP_CORREL,GRAY,5,0.3142857142857143,1.0,0.4782608695652174,11,24,0,15,3.411788135820881e-05
ios-autofocus\ios-autofocus.mp4,ios-autofocus,HISTCMP_CORREL,HSV,1,0.3,0.8181818181818182,0.43902439024390244,9,21,2,18,8.696787296902375e-05
ios-autofocus\ios-autofocus.mp4,ios-autofocus,HISTCMP_CORREL,HSV,3,0.4666666666666667,0.6363636363636364,0.5384615384615384,7,8,4,31,8.696787296902375e-05
ios-autofocus\ios-autofocus.mp4,ios-autofocus,HISTCMP_CORREL,HSV,5,0.7142857142857143,0.45454545454545453,0.5555555555555556,5,2,6,37,8.696787296902375e-05
ios-autofocus\ios-autofocus.mp4,ios-autofocus,HISTCMP_CORREL,RGB,1,0.3181818181818182,0.6363636363636364,0.42424242424242425,7,15,4,24,0.10497997384583546
ios-autofocus\ios-autofocus.mp4,ios-autofocus,HISTCMP_CORREL,RGB,3,0.34615384615384615,0.8181818181818182,0.4864864864864865,9,17,2,22,0.0033993491585043722
ios-autofocus\ios-autofocus.mp4,ios-autofocus,HISTCMP_CORREL,RGB,5,0.5,0.8181818181818182,0.6206896551724138,9,9,2,30,0.0033993491585043722
ios-autofocus\ios-autofocus.mp4,ios-autofocus,HISTCMP_CHISQR,GRAY,1,0.23404255319148937,1.0,0.3793103448275862,11,36,0,3,0.008898928331718061
ios-autofocus\ios-autofocus.mp4,ios-autofocus,HISTCMP_CHISQR,GRAY,3,0.2682926829268293,1.0,0.4230769230769231,11,30,0,9,0.008898928331718061
ios-autofocus\ios-autofocus.mp4,ios-autofocus,HISTCMP_CHISQR,GRAY,5,0.3142857142857143,1.0,0.4782608695652174,11,24,0,15,0.008898928331718061
ios-autofocus\ios-autofocus.mp4,ios-autofocus,HISTCMP_CHISQR,HSV,1,0.24444444444444444,1.0,0.39285714285714285,11,34,0,5,0.0008928595691960827
ios-autofocus\ios-autofocus.mp4,ios-autofocus,HISTCMP_CHISQR,HSV,3,0.2972972972972973,1.0,0.4583333333333333,11,26,0,13,0.0008928595691960827
ios-autofocus\ios-autofocus.mp4,ios-autofocus,HISTCMP_CHISQR,HSV,5,0.3793103448275862,1.0,0.55,11,18,0,21,0.0008928595691960827
ios-autofocus\ios-autofocus.mp4,ios-autofocus,HISTCMP_CHISQR,RGB,1,0.25,1.0,0.4,11,33,0,6,0.552296724098103
ios-autofocus\ios-autofocus.mp4,ios-autofocus,HISTCMP_CHISQR,RGB,3,0.2894736842105263,1.0,0.4489795918367347,11,27,0,12,0.552296724098103
ios-autofocus\ios-autofocus.mp4,ios-autofocus,HISTCMP_CHISQR,RGB,5,0.375,0.8181818181818182,0.5142857142857142,9,15,2,24,0.6612396132214727
ios-autofocus\ios-autofocus.mp4,ios-autofocus,HISTCMP_BHATTACHARYYA,GRAY,1,0.23404255319148937,1.0,0.3793103448275862,11,36,0,3,0.030153476346016596
ios-autofocus\ios-autofocus.mp4,ios-autofocus,HISTCMP_BHATTACHARYYA,GRAY,3,0.2682926829268293,1.0,0.4230769230769231,11,30,0,9,0.030153476346016596
ios-autofocus\ios-autofocus.mp4,ios-autofocus,HISTCMP_BHATTACHARYYA,GRAY,5,0.3142857142857143,1.0,0.4782608695652174,11,24,0,15,0.030153476346016596
ios-autofocus\ios-autofocus.mp4,ios-autofocus,HISTCMP_BHATTACHARYYA,HSV,1,0.24444444444444444,1.0,0.39285714285714285,11,34,0,5,0.012077532033423787
ios-autofocus\ios-autofocus.mp4,ios-autofocus,HISTCMP_BHATTACHARYYA,HSV,3,0.2972972972972973,1.0,0.4583333333333333,11,26,0,13,0.012077532033423787
ios-autofocus\ios-autofocus.mp4,ios-autofocus,HISTCMP_BHATTACHARYYA,HSV,5,0.3793103448275862,1.0,0.55,11,18,0,21,0.012077532033423787
ios-autofocus\ios-autofocus.mp4,ios-autofocus,HISTCMP_BHATTACHARYYA,RGB,1,0.3181818181818182,0.6363636363636364,0.42424242424242425,7,15,4,24,0.29494695217134964
ios-autofocus\ios-autofocus.mp4,ios-autofocus,HISTCMP_BHATTACHARYYA,RGB,3,0.2894736842105263,1.0,0.4489795918367347,11,27,0,12,0.09593809590174872
ios-autofocus\ios-autofocus.mp4,ios-autofocus,HISTCMP_BHATTACHARYYA,RGB,5,0.4090909090909091,0.8181818181818182,0.5454545454545454,9,13,2,26,0.1080267372449952
ios-autofocus\ios-autofocus.mp4,ios-autofocus,HISTCMP_INTERSECT,GRAY,1,0.22916666666666666,1.0,0.3728813559322034,11,37,0,2,-0.72079204257534
ios-autofocus\ios-autofocus.mp4,ios-autofocus,HISTCMP_INTERSECT,GRAY,3,0.2619047619047619,1.0,0.41509433962264153,11,31,0,8,-0.72079204257534
ios-autofocus\ios-autofocus.mp4,ios-autofocus,HISTCMP_INTERSECT,GRAY,5,0.3055555555555556,1.0,0.46808510638297873,11,25,0,14,-0.72079204257534
ios-autofocus\ios-autofocus.mp4,ios-autofocus,HISTCMP_INTERSECT,HSV,1,0.35,0.6363636363636364,0.45161290322580644,7,13,4,26,-0.6148442904741387
ios-autofocus\ios-autofocus.mp4,ios-autofocus,HISTCMP_INTERSECT,HSV,3,0.4117647058823529,0.6363636363636364,0.5,7,10,4,29,-0.6333847191635869
ios-autofocus\ios-autofocus.mp4,ios-autofocus,HISTCMP_INTERSECT,HSV,5,0.2972972972972973,1.0,0.4583333333333333,11,26,0,13,-0.6615378030692227
ios-autofocus\ios-autofocus.mp4,ios-autofocus,HISTCMP_INTERSECT,RGB,1,0.2916666666666667,0.6363636363636364,0.4,7,17,4,22,-3.077273480128497
