방식,API 호출 (60초),품질 불량 호출,유효 호출,불필요 호출률,추정 비용($/hr),normal-change FP (w=1),normal-change FP (w=5),normal-change F1 (w=5)
Gemini Only (매 2초),29,9,20,31.0%,1.4975,23,2,0.917
CV + Gemini (모듈1+2+3),5,0,5,0.0%,0.2582,23,2,0.917
